p_comments_count,p_caption,p_ig_id,p_is_comment_enabled,p_like_count,p_media_type,p_owner,p_shortcode,p_timestamp,p_username,p_views_count,p_location,p_location_id,c_username,c_timestamp,c_text,c_like_count,c_id,c_parent_id
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,conspiraciesofficial,2020-06-30 22:11:05,My page got conspiracy theories that will make you rethink reality 😳🤯,3,17968157287314017,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,mycleyanai,2020-06-30 22:21:14,@conspiraciesofficial Congrats,0,17885705008613350,1.7968157287314016e+16
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,usman.99,2020-06-30 22:11:17,I like u,1,17863084300948906,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,young_ceo.1,2020-06-30 22:11:23,👏,0,17847260945186178,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,quicklyshop.co,2020-06-30 22:12:21,👌🇨🇴,0,17923411705416520,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,dekomisyacom,2020-06-30 22:16:52,👈👈👈,0,17894049439544341,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,mangosteenllc,2020-06-30 22:17:05,We make the best games on the Play Store! Check us out! Link in bio. 🙌,1,17860150603980549,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,peterallenduncan,2020-06-30 22:17:07,😺 Love this ♥️,0,18136888534079085,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,ivegotthegreen,2020-06-30 22:21:01,🙏🙏🙏,0,17854634330067553,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,mycleyanai,2020-06-30 22:21:40,@google 🕺💃 Giving makes one happy.,1,17890183318574011,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,kaioninstaa,2020-06-30 22:23:28,Ok but neither didn't asked you guys,0,17870826709790119,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,donniedabarber,2020-06-30 22:24:34,Thank you for the information,0,17869808812819372,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,epsidonbeltran,2020-06-30 22:25:19,👍,0,17885843167610369,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,drdoodlealittle,2020-06-30 22:37:52,"What lovely words, what lovely illustrations 😍",0,17878693381680571,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,las_vegas_real_estate,2020-06-30 22:42:02,Will do!,0,18141900304064785,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,da_nielle1723,2020-06-30 22:50:22,I like the message,0,17858671886013486,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,niraldoll,2020-06-30 23:03:44,love this so much!!,0,17898779140509993,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,psicologiaatuar,2020-06-30 23:05:35,👏,1,17870420341832362,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,psicologiaatuar,2020-06-30 23:05:37,👏,0,17846208146222179,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,blairebender,2020-06-30 23:06:34,😍😍😍,3,17906370259473484,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,mustapha.taki2,2020-06-30 23:09:52,Done,0,17878975423719493,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,mustapha.taki2,2020-06-30 23:09:55,Done,0,17899752811505745,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,mitulparmar,2020-06-30 23:12:23,@niraldoll so cooooool! 🙌🏽,1,17917625047432215,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,balltoko,2020-06-30 23:25:49,hey google! do lesbians exist? if so USE THEM IN PRIDE POSTS,0,17870493784813160,
33,"Our favorite local businesses do more than provide products and services—they serve up smiles 😊, connection 💫, and community 💞. We asked 5 small businesses what has driven them to stay the course amid the challenges of COVID-19. Swipe through for their inspirational answers, and head to the link in our bio to access the #GrowWithGoogle tools & resources that have helped them adapt.",2343232109567953642,True,3353,CAROUSEL_ALBUM,1067259270,CCE1TBNFkrq,2020-06-30,google,,,,linda_sehili_10k,2020-06-30 23:26:53,Follow m'y page,1,17857120283054508,
155,Thought AR cats and tigers were fun? Now you can turn your home into #JurassicWorld with #AR dinosaurs. 🦕 Search for dinosaurs using your mobile device and tap “View in 3D” to see them in your room. Share your best creations using #Google3D & #3Ddinos. Tap the link in bio to learn more. 🦖,2343077335623203033,True,12639,VIDEO,1067259270,CCESGwvFvjZ,,google,68014.0,,,lugmilablichicnenk,2020-06-30 20:31:11,🤗🥰🤗🥰🤗🥰✌💃💃💃💃💃💃💃💃,1,17917412647432165,
