p_comments_count,p_caption,p_ig_id,p_is_comment_enabled,p_like_count,p_media_type,p_owner,p_shortcode,p_timestamp,p_username,p_views_count,p_location,p_location_id,c_username,c_timestamp,c_text,c_like_count,c_id,c_parent_id
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,mailen_hemker,2020-06-24 03:00:36,"Twitter, go back to Twitter, you liberal losers!!!",,17893227520541749,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,marlenelazoflores,2020-06-24 22:42:24,Bajaron mi cuenta de Twitter,1.0,17848714763177567,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,11rawan88,2020-06-25 16:58:24,توتير كلمني في الخاص,1.0,17878783537681771,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,ltosr,2020-06-26 21:22:27,ليه يكلابببب مزين الانستا عشان اقعد فيه خلصت كل ارقامي وايميلاتي وربي تعبت عيب تقفلون الحسابات ياخي طفشون الله يطفشكم انتو وبرنامجكم الخرا,,17858327413993613,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,ltosr,2020-06-26 21:41:41,صدقوني اذا مارجعتو حسابي راح تخسروني والله,,18104270248155940,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,ltosr,2020-06-26 21:42:57,ياخي جاك وشفيككك علمني ليه انت كذا نفسيه ومريض عيب استح على وجهك مو فله ولا قوه قسم بالله تعال قدامي بس لا العن والدينك ياكلب وعلمك الله حق,,17874103609746939,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,ltosr,2020-06-26 21:43:44,جاك الله ليوفقك,,17893620886537214,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,ltosr,2020-06-26 21:43:55,ترامب بيدعس عليك صدقني,,17889685021568286,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,ltosr,2020-06-26 21:44:23,ترامب تاج روسنا,,17947127443354849,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,iamkingyc,2020-06-27 00:15:31,@twitter check dm it’s an emergency blm,,17863760722919525,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,princeofdarkness43,2020-06-27 10:54:10,Coolest boss with good plans,,17852000795115411,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,umatu.skye,2020-06-27 15:19:44,Hey may I ask you guys to take down the hashtag telling people to burn gays? I’m hurt and it’s been messing with my life. Please..,,17857109315034993,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,wagner_chves,2020-06-29 16:09:18,Nãos estou conseguindo acessar minha conta @twitter,,17863970452906971,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,markbizzelle_2468,2020-06-29 19:10:38,Mark Twitter,,17845685627238379,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,markbizzelle_2468,2020-06-29 19:10:58,Mark LinkedIn business Skype,,18111930043138837,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,tweeetzar,2020-06-29 19:38:54,Check out my memes,,18136265587074763,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,butwedo,2020-06-30 01:20:32,🔥🔥🔥🔥🔥,1.0,18025890982273285,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,patcap10_,2020-06-20 11:25:03,What is left to protest????,8.0,17878557043674001,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,christeptep,2020-06-20 12:45:02,🙌🏽,2.0,17858522987002051,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,alvinthefool,2020-06-20 12:46:03,Twitter has fallen in racist propaganda,36.0,17960512780326216,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,iir0bin_xy,2020-06-20 14:21:41,🤨,2.0,17892658483543083,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,nishikarr,2020-06-20 15:32:36,How's that funny.?,2.0,17924363341406751,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,tzellll,2020-06-20 15:58:08,animals lives matter,6.0,18109921669191351,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,i.n.t.o.k,2020-06-26 02:56:49,@tzellll 👏,,17846200127205367,1.810992166919135e+16
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,tania.soni,2020-06-20 18:39:49,Follow IG @tania.soni Auto back,2.0,17855143022066621,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,_.its.maxim._,2020-06-20 19:45:10,Btw more black people are racist towards whites than whites towards blacks,,18109014160095508,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,reubenxjohnson,2020-06-21 01:24:29,@_katie_hopkins_ LET HER BACK ON TWITTER!,2.0,18099176734165706,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,ann_josephine,2020-06-21 01:43:42,"I’m confused? Oh wait I’ll asked all the business owners who’s business’ were burned, broken into, their inventory stolen, & beaten with 2x4s. Why would anyone respect that??",11.0,18072246196202119,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,cesar.novaes,2020-06-21 04:37:51,🤙,2.0,18124182340101872,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,nataliamartinez9463,2020-06-21 14:49:43,Q bueno😘,2.0,18145865869059274,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,thehackingmind1,2020-06-22 12:53:11,Chuppa Chups,3.0,17901443650492653,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,connor_patenaude,2020-06-23 21:09:25,TRUMPPPPPP,5.0,17863476784925466,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,sergiodlcl,2020-06-20 03:21:38,Posting this is not enough @twitter,2.0,18114994069125284,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,steved732019,2020-06-20 03:53:53,Interesting your only posting favorable blm content 🤔,17.0,17887476964564861,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,therealgoldentrashcan,2020-06-20 04:26:04,Americans,2.0,17856447404011933,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,ellalynns_pets,2020-06-20 04:52:36,I’m so tired of hearing about blm and not Becuase I don’t believe in its becuase it makes me sick we have to go on about it for so long and it hasn’t even stopped yet 💔,9.0,17853512174063830,
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,i.n.t.o.k,2020-06-26 02:56:01,@ellalynns_pets its not gonna stop until we get our rights(not trying to be rude),,17876050093732604,1.785351217406383e+16
144,,2335357436659587102,True,10150,IMAGE,471188176,CBo2zcjqVge,2020-06-19,twitter,,,,fxhd_117,2020-06-20 05:10:03,SO PALASTENIAN ARE NOT MATTER??!!,4.0,17845500299210908,
